STFIPS,CTYFIPS,ST_ABBREV,CTYNAME,CBSATITLE,CBSAPOP,CTYPOP,CODE2023,CODE2013,CODE2006,CODE1990
1,1,AL,Autauga County,"Montgomery, AL",385460,59759,3,3,3,3
1,3,AL,Baldwin County,"Daphne-Fairhope-Foley, AL",246435,246435,4,4,5,3
1,5,AL,Barbour County,"Eufaula, AL-GA",26955,24706,5,6,5,5
1,7,AL,Bibb County,"Birmingham, AL",1181196,22005,2,2,2,6
1,9,AL,Blount County,"Birmingham, AL",1181196,59512,2,2,2,3
1,11,AL,Bullock County,,,10202,6,6,6,6
1,13,AL,Butler County,,,18650,6,6,6,6
1,15,AL,Calhoun County,"Anniston-Oxford, AL",115788,115788,4,4,4,4
1,17,AL,Chambers County,"LaGrange, GA-AL",104279,34088,5,5,5,6
1,19,AL,Cherokee County,,,25302,6,6,6,6
1,21,AL,Chilton County,"Birmingham, AL",1181196,45884,2,2,2,6
1,23,AL,Choctaw County,,,12439,6,6,6,6
1,25,AL,Clarke County,,,22515,6,6,6,6
1,27,AL,Clay County,,,14198,6,6,6,6
1,29,AL,Cleburne County,,,15346,6,6,6,6
1,31,AL,Coffee County,"Enterprise, AL",54805,54805,5,5,5,5
1,33,AL,Colbert County,"Florence-Muscle Shoals, AL",153911,58033,4,4,4,4
1,35,AL,Conecuh County,,,11206,6,6,6,6
1,37,AL,Coosa County,"Talladega-Sylacauga, AL",90870,10166,5,5,5,6
1,39,AL,Covington County,,,37602,6,6,6,6
1,41,AL,Crenshaw County,,,13025,6,6,6,6
1,43,AL,Cullman County,"Cullman, AL",90665,90665,5,5,5,5
1,45,AL,Dale County,"Ozark, AL",49544,49544,5,5,5,4
1,47,AL,Dallas County,"Selma, AL",36767,36767,5,5,5,5
1,49,AL,DeKalb County,"Fort Payne, AL",71998,71998,5,6,5,5
1,51,AL,Elmore County,"Montgomery, AL",385460,89563,3,3,3,3
1,53,AL,Escambia County,,,36666,6,6,6,6
1,55,AL,Etowah County,"Gadsden, AL",103088,103088,4,4,4,4
1,57,AL,Fayette County,,,16118,6,6,6,6
1,59,AL,Franklin County,"Russellville, AL",31932,31932,5,6,6,6
1,61,AL,Geneva County,"Dothan, AL",152517,26783,4,4,4,6
1,63,AL,Greene County,"Tuscaloosa, AL",277494,7422,3,6,4,6
1,65,AL,Hale County,"Tuscaloosa, AL",277494,14595,3,4,4,6
1,67,AL,Henry County,"Dothan, AL",152517,17655,4,4,4,6
1,69,AL,Houston County,"Dothan, AL",152517,108079,4,4,4,4
1,71,AL,Jackson County,"Scottsboro, AL",52891,52891,5,5,5,5
1,73,AL,Jefferson County,"Birmingham, AL",1181196,665409,2,1,1,3
1,75,AL,Lamar County,,,13705,6,6,6,6
1,77,AL,Lauderdale County,"Florence-Muscle Shoals, AL",153911,95878,4,4,4,4
1,79,AL,Lawrence County,"Decatur, AL",157425,33214,4,4,4,4
1,81,AL,Lee County,"Auburn-Opelika, AL",199289,180773,4,4,4,5
1,83,AL,Limestone County,"Huntsville, AL",514465,110900,3,3,3,3
1,85,AL,Lowndes County,"Montgomery, AL",385460,9777,3,3,3,6
1,87,AL,Macon County,"Auburn-Opelika, AL",199289,18516,4,6,5,5
1,89,AL,Madison County,"Huntsville, AL",514465,403565,3,3,3,3
1,91,AL,Marengo County,,,18745,6,6,6,6
1,93,AL,Marion County,,,29156,6,6,6,6
1,95,AL,Marshall County,"Albertville, AL",99423,99423,5,5,5,5
1,97,AL,Mobile County,"Mobile, AL",411411,411411,3,3,3,3
1,99,AL,Monroe County,,,19404,6,6,6,6
1,101,AL,Montgomery County,"Montgomery, AL",385460,226361,3,3,3,3
1,103,AL,Morgan County,"Decatur, AL",157425,124211,4,4,4,4
1,105,AL,Perry County,,,8035,6,6,6,6
1,107,AL,Pickens County,"Tuscaloosa, AL",277494,18697,3,4,6,6
1,109,AL,Pike County,"Troy, AL",33014,33014,5,5,5,5
1,111,AL,Randolph County,,,22479,6,6,6,6
1,113,AL,Russell County,"Columbus, GA-AL",324110,58555,3,3,3,3
1,115,AL,St. Clair County,"Birmingham, AL",1181196,93932,2,2,2,3
1,117,AL,Shelby County,"Birmingham, AL",1181196,230115,2,2,2,3
1,119,AL,Sumter County,,,11853,6,6,6,6
1,121,AL,Talladega County,"Talladega-Sylacauga, AL",90870,80704,5,5,5,5
1,123,AL,Tallapoosa County,"Alexander City, AL",40977,40977,5,6,5,5
1,125,AL,Tuscaloosa County,"Tuscaloosa, AL",277494,236780,3,4,4,4
1,127,AL,Walker County,"Birmingham, AL",1181196,64339,2,2,2,5
1,129,AL,Washington County,,,15122,6,6,6,6
1,131,AL,Wilcox County,,,10059,6,6,6,6
1,133,AL,Winston County,,,23755,6,6,6,6
2,13,AK,Aleutians East Borough,,,3398,6,6,6,6
2,16,AK,Aleutians West Census Area,,,5122,6,6,6,6
2,20,AK,Anchorage Municipality,"Anchorage, AK",400470,287145,3,3,3,4
2,50,AK,Bethel Census Area,,,18257,6,6,6,6
2,60,AK,Bristol Bay Borough,,,865,6,6,6,6
2,63,AK,Chugach Census Area,,,6874,6,,,
2,66,AK,Copper River Census Area,,,2589,6,,,
2,68,AK,Denali Borough,,,1585,6,6,6,6
2,70,AK,Dillingham Census Area,,,4723,6,6,6,6
2,90,AK,Fairbanks North Star Borough,"Fairbanks-College, AK",95356,95356,4,4,4,5
2,100,AK,Haines Borough,,,2056,6,6,6,6
2,105,AK,Hoonah-Angoon Census Area,,,2287,6,6,,
2,110,AK,Juneau City and Borough,"Juneau, AK",31685,31685,5,5,5,5
2,122,AK,Kenai Peninsula Borough,,,60690,6,6,6,6
2,130,AK,Ketchikan Gateway Borough,"Ketchikan, AK",13741,13741,5,5,5,6
2,150,AK,Kodiak Island Borough,,,12720,6,6,5,6
2,158,AK,Kusilvak Census Area,,,8278,6,6,,
2,164,AK,Lake and Peninsula Borough,,,1381,6,6,6,6
2,170,AK,Matanuska-Susitna Borough,"Anchorage, AK",400470,113325,3,3,3,6
2,180,AK,Nome Census Area,,,9835,6,6,6,6
2,185,AK,North Slope Borough,,,10805,6,6,6,6
2,188,AK,Northwest Arctic Borough,,,7423,6,6,6,6
2,195,AK,Petersburg Census Area,,,3360,6,6,,
2,198,AK,Prince of Wales-Hyder Census Area,,,5650,6,6,,
2,201,AK,Prince of Wales-Outer Ket,,,,,,6,6
2,220,AK,Sitka City and Borough,,,8382,6,6,6,6
2,230,AK,Skagway Municipality,,,1081,6,6,,
2,232,AK,Skagway-Hoonah-Angoon Census Area,,,,,,6,6
2,240,AK,Southeast Fairbanks Census Area,,,7021,6,6,6,6
2,261,AK,Valdez-Cordova Census Area,,,,,6,6,6
2,270,AK,Wade Hampton Census Area,,,,,,6,6
2,275,AK,Wrangell City and Borough,,,2070,6,6,,
2,280,AK,Wrangell-Petersburg Census Area,,,,,,6,6
2,282,AK,Yakutat City and Borough,,,700,6,6,6,6
2,290,AK,Yukon-Koyukuk Census Area,,,5179,6,6,6,6
4,1,AZ,Apache County,,,65432,6,6,6,6
4,3,AZ,Cochise County,"Sierra Vista-Douglas, AZ",125663,125663,4,4,5,5
4,5,AZ,Coconino County,"Flagstaff, AZ",144060,144060,4,4,4,5
4,7,AZ,Gila County,"Payson, AZ",53922,53922,5,5,5,6
4,9,AZ,Graham County,"Safford, AZ",38779,38779,5,5,5,6
4,11,AZ,Greenlee County,,,9302,6,6,5,6
4,12,AZ,La Paz County,,,16506,6,6,6,6
4,13,AZ,Maricopa County,"Phoenix-Mesa-Chandler, AZ",5015678,4551524,1,1,1,1
4,15,AZ,Mohave County,"Lake Havasu City-Kingman, AZ",220816,220816,4,4,5,3
4,17,AZ,Navajo County,"Show Low, AZ",108650,108650,5,5,6,6
4,19,AZ,Pima County,"Tucson, AZ",1057597,1057597,1,3,3,3
4,21,AZ,Pinal County,"Phoenix-Mesa-Chandler, AZ",5015678,464154,2,2,2,2
4,23,AZ,Santa Cruz County,"Nogales, AZ",48759,48759,5,5,5,5
4,25,AZ,Yavapai County,"Prescott Valley-Prescott, AZ",246191,246191,4,4,4,5
4,27,AZ,Yuma County,"Yuma, AZ",207842,207842,4,4,4,4
5,1,AR,Arkansas County,,,16512,6,6,6,5
5,3,AR,Ashley County,,,18354,6,6,6,6
5,5,AR,Baxter County,"Mountain Home, AR",42435,42435,5,5,5,6
5,7,AR,Benton County,"Fayetteville-Springdale-Rogers, AR",576403,302863,3,3,3,4
5,9,AR,Boone County,"Harrison, AR",45362,38284,5,5,5,6
5,11,AR,Bradley County,,,10135,6,6,6,6
5,13,AR,Calhoun County,"Camden, AR",26744,4695,5,5,5,6
5,15,AR,Carroll County,,,28742,6,6,6,6
5,17,AR,Chicot County,,,9873,6,6,6,6
5,19,AR,Clark County,"Arkadelphia, AR",21250,21250,5,5,5,5
5,21,AR,Clay County,,,14265,6,6,6,6
5,23,AR,Cleburne County,,,25284,6,6,6,6
5,25,AR,Cleveland County,"Pine Bluff, AR",71713,7467,5,4,4,6
5,27,AR,Columbia County,"Magnolia, AR",22216,22216,5,5,5,5
5,29,AR,Conway County,,,21046,6,6,6,6
5,31,AR,Craighead County,"Jonesboro, AR",135512,113017,4,4,4,5
5,33,AR,Crawford County,"Fort Smith, AR-OK",229801,61075,4,3,3,4
5,35,AR,Crittenden County,"Memphis, TN-MS-AR",1339855,47061,2,2,2,2
5,37,AR,Cross County,,,16601,6,6,6,6
5,39,AR,Dallas County,,,6191,6,6,6,6
5,41,AR,Desha County,,,10771,6,6,6,6
5,43,AR,Drew County,,,16911,6,6,6,6
5,45,AR,Faulkner County,"Little Rock-North Little Rock-Conway, AR",757615,127665,3,3,3,3
5,47,AR,Franklin County,,,17271,6,6,3,6
5,49,AR,Fulton County,,,12382,6,6,6,6
5,51,AR,Garland County,"Hot Springs, AR",100089,100089,4,4,4,5
5,53,AR,Grant County,"Little Rock-North Little Rock-Conway, AR",757615,18160,3,3,3,6
5,55,AR,Greene County,"Paragould, AR",46448,46448,5,5,5,5
5,57,AR,Hempstead County,,,19453,6,6,5,6
5,59,AR,Hot Spring County,"Malvern, AR",33203,33203,5,5,6,6
5,61,AR,Howard County,,,12557,6,6,6,6
5,63,AR,Independence County,"Batesville, AR",37945,37945,5,5,5,6
5,65,AR,Izard County,,,14048,6,6,6,6
5,67,AR,Jackson County,,,16624,6,6,6,6
5,69,AR,Jefferson County,"Pine Bluff, AR",71713,64246,5,4,4,4
5,71,AR,Johnson County,,,26001,6,6,6,6
5,73,AR,Lafayette County,,,6101,6,6,6,6
5,75,AR,Lawrence County,,,16205,6,6,6,6
5,77,AR,Lee County,,,8364,6,6,6,6
5,79,AR,Lincoln County,,,12916,6,4,4,6
5,81,AR,Little River County,"Texarkana, TX-AR",146408,11821,4,4,6,6
5,83,AR,Logan County,,,21253,6,6,6,6
5,85,AR,Lonoke County,"Little Rock-North Little Rock-Conway, AR",757615,75225,3,3,3,3
5,87,AR,Madison County,"Fayetteville-Springdale-Rogers, AR",576403,17486,3,3,3,6
5,89,AR,Marion County,,,17254,6,6,6,6
5,91,AR,Miller County,"Texarkana, TX-AR",146408,42552,4,4,4,4
5,93,AR,Mississippi County,"Blytheville, AR",38896,38896,5,5,5,5
5,95,AR,Monroe County,,,6564,6,6,6,6
5,97,AR,Montgomery County,,,8556,6,6,6,6
5,99,AR,Nevada County,,,8181,6,6,5,6
5,101,AR,Newton County,"Harrison, AR",45362,7078,5,5,5,6
5,103,AR,Ouachita County,"Camden, AR",26744,22049,5,5,5,5
5,105,AR,Perry County,"Little Rock-North Little Rock-Conway, AR",757615,10063,3,3,3,6
5,107,AR,Phillips County,,,15304,6,5,5,6
5,109,AR,Pike County,,,10179,6,6,6,6
5,111,AR,Poinsett County,"Jonesboro, AR",135512,22495,4,4,4,6
5,113,AR,Polk County,,,19337,6,6,6,6
5,115,AR,Pope County,"Russellville, AR",84194,64065,5,5,5,5
5,117,AR,Prairie County,,,8069,6,6,6,6
5,119,AR,Pulaski County,"Little Rock-North Little Rock-Conway, AR",757615,399145,3,3,3,3
5,121,AR,Randolph County,,,18837,6,6,6,6
5,123,AR,St. Francis County,"Forrest City, AR",22451,22451,5,5,5,5
5,125,AR,Saline County,"Little Rock-North Little Rock-Conway, AR",757615,127357,3,3,3,3
5,127,AR,Scott County,,,9805,6,6,6,6
5,129,AR,Searcy County,,,7918,6,6,6,6
5,131,AR,Sebastian County,"Fort Smith, AR-OK",229801,129059,4,3,3,4
5,133,AR,Sevier County,,,15686,6,6,6,6
5,135,AR,Sharp County,,,17810,6,6,6,6
5,137,AR,Stone County,,,12575,6,6,6,6
5,139,AR,Union County,"El Dorado, AR",37752,37752,5,5,5,5
5,141,AR,Van Buren County,,,16102,6,6,6,6
5,143,AR,Washington County,"Fayetteville-Springdale-Rogers, AR",576403,256054,3,3,3,4
5,145,AR,White County,"Searcy, AR",77755,77755,5,5,5,5
5,147,AR,Woodruff County,,,6049,6,6,6,6
5,149,AR,Yell County,"Russellville, AR",84194,20129,5,5,5,6
6,1,CA,Alameda County,"San Francisco-Oakland-Fremont, CA",4579599,1628997,1,1,1,1
6,3,CA,Alpine County,"Gardnerville Ranchos, NV-CA",50818,1190,5,6,6,6
6,5,CA,Amador County,,,41412,6,6,6,6
6,7,CA,Butte County,"Chico, CA",207303,207303,4,4,4,4
6,9,CA,Calaveras County,,,46563,6,6,6,6
6,11,CA,Colusa County,,,21914,6,6,6,6
6,13,CA,Contra Costa County,"San Francisco-Oakland-Fremont, CA",4579599,1156966,2,2,2,2
6,15,CA,Del Norte County,"Crescent City, CA",27082,27082,5,5,5,6
6,17,CA,El Dorado County,"Sacramento-Roseville-Folsom, CA",2416702,192646,2,2,2,2
6,19,CA,Fresno County,"Fresno, CA",1175446,1015190,1,3,3,3
6,21,CA,Glenn County,,,28339,6,6,6,6
6,23,CA,Humboldt County,"Eureka-Arcata, CA",135010,135010,5,5,5,5
6,25,CA,Imperial County,"El Centro, CA",178713,178713,4,4,4,5
6,27,CA,Inyo County,"Bishop, CA",18718,18718,5,6,5,6
6,29,CA,Kern County,"Bakersfield-Delano, CA",916108,916108,3,3,3,3
6,31,CA,Kings County,"Hanford-Corcoran, CA",152981,152981,4,4,4,5
6,33,CA,Lake County,"Clearlake, CA",68191,68191,5,5,5,5
