status,state,year,bill,link
Enacted,Arkansas,2021,Act 1103 (HB 1881) – 340B Drug-Pricing Nondiscrimination Act,https://arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2021R%2FPublic%2FACT1103.pdf
Enacted,Colorado,2025,SB 25‑071 – Prohibit Restrictions on 340B Drugs,https://leg.colorado.gov/bills/sb25-071
Enacted,Kansas,2024,SB 28 – Budget Rider Protecting Contract Pharmacy Access,https://legiscan.com/KS/text/SB28/id/2746355
Enacted,Louisiana,2023,Act 358 (HB 548) – Contract‑Pharmacy Protections,https://legis.la.gov/legis/ViewDocument.aspx?d=1332515
Enacted,Maryland,2024,HB 1056 – 340B Drug‑Pricing Prohibitions,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/hb1056?ys=2024RS
Enacted,Minnesota,2023,Minn. Stat. § 62J.96 – Contract‑Pharmacy Protections,https://www.revisor.mn.gov/statutes/cite/62J.96
Enacted,Mississippi,2024,HB 728 – Defending Affordable Prescription Drug Costs Act,https://legiscan.com/MS/text/HB728/id/2905457
Enacted,Missouri,2024,SB 751 – Distribution of 340B Drugs,https://www.senate.mo.gov/24info/BTS_Web/Bill.aspx?BillID=186&SessionType=R
Enacted,Nebraska,2025,LB 168 – 340B Contract Pharmacy Protection Act,https://nebraskalegislature.gov/FloorDocs/109/PDF/Intro/LB168.pdf
Enacted,New Mexico,2025,HB 78 – 340B Contract Pharmacy Nondiscrimination Act,https://www.nmlegis.gov/Sessions/25%20Regular/bills/house/HB0078.HTML
Enacted,North Dakota,2025,HB 1473 – 340B Contract Pharmacy Act,https://ndlegis.gov/assembly/69-2025/regular/bill-overview/bo1473.html
Enacted,Oklahoma,2025,HB 2048 – 340B Nondiscrimination Act,https://www.oklegislature.gov/BillInfo.aspx?Bill=HB2048
Enacted,South Dakota,2025,SB 154 – Contract‑Pharmacy Protections,https://sdlegislature.gov/Session/Bill/25981
Enacted,Utah,2025,SB 69 – Medication Amendments (340B),https://le.utah.gov/~2025/bills/static/SB0069.html
Enacted,Vermont,2025,H.266 – 340B Prescription Drug Pricing Program,https://legislature.vermont.gov/bill/status/2026/H.266
Enacted,West Virginia,2024,SB 325 – Contract Pharmacy Access Law,https://www.wvlegislature.gov/Bill_Status/bills_text.cfm?billdoc=sb325+intr.htm&i=325&sesstype=RS&yr=2024
Enacted,Oregon,2025,HB 2385 – Relating to restrictions on 340B covered entities,https://olis.oregonlegislature.gov/liz/2025R1/Measures/Overview/HB2385
Enacted,Maine,2025,HP 113 – An Act Regarding the Interactions of Pharmacy Benefits Managers,https://legislature.maine.gov/legis/bills/display_ps.asp?snum=132&paper=HP0113&PID=1456
Pending,Illinois,2025,SB 2385 – Patient Access 340B Pharmacy Act,https://www.ilga.gov/legislation/104/SB/10400SB2385.htm
Pending,Michigan,2025,SB 94 – 340B Contract Pharmacy Protection,https://legislature.mi.gov/Bills/Bill?ObjectName=2025-SB-0094
Pending,Iowa,2025,HF 590 – 340B Drug Access Bill,https://legiscan.com/IA/text/HF590/id/3140111
Pending,Texas,2025,HB 3265 – Hospital 340B Contract Pharmacy Act,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB03265I.htm
Pending,Hawaii,2025,HB 712 – 340B Contract‑Pharmacy Safeguards,https://data.capitol.hawaii.gov/sessions/session2025/bills/HB712_HD1_.PDF
Pending,California,2025,AB 1460 – Prescription Drug Pricing – Contract Pharmacy Access,https://legiscan.com/CA/bill/AB1460/2025
Pending,Georgia,2025,HB 139 – 340B Contract Pharmacy Protection,https://www.legis.ga.gov/legislation/69539
Pending,New York,2025,S 1913 – 340B Prescription Drug Anti‑Discrimination Act,https://www.nysenate.gov/legislation/bills/2025/S1913
Pending,Rhode Island,2025,S 114 – Defending Affordable Prescription Drug Costs Act,https://legiscan.com/RI/bill/S0114/2025
Failed,Florida,2025,HB 1527 – 340B Contract Pharmacy Access / Anti‑Discrimination,https://www.flsenate.gov/Session/Bill/2025/1527
Failed,New Hampshire,2025,SB 253 – 340B Contract Pharmacy Access Bill,https://legiscan.com/NH/bill/SB253/2025
