category,setting,billing_code_type,billing_code,description,charge_type,rate
facility,inpatient,MS-DRG,001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,case rate,
facility,inpatient,MS-DRG,002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,case rate,
facility,inpatient,MS-DRG,003,ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DI MCC,case rate,
facility,inpatient,MS-DRG,004,TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS E MCC,case rate,
facility,inpatient,MS-DRG,005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,case rate,
facility,inpatient,MS-DRG,006,LIVER TRANSPLANT WITHOUT MCC,case rate,
facility,inpatient,MS-DRG,007,LUNG TRANSPLANT,case rate,
facility,inpatient,MS-DRG,008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,case rate,
facility,inpatient,MS-DRG,010,PANCREAS TRANSPLANT,case rate,
facility,inpatient,MS-DRG,011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LA MCC",case rate,
facility,inpatient,MS-DRG,012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LA MCC",case rate,
facility,inpatient,MS-DRG,013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LA MCC",case rate,
facility,inpatient,MS-DRG,014,ALLOGENEIC BONE MARROW TRANSPLANT,case rate,
facility,inpatient,MS-DRG,016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,case rate,
facility,inpatient,MS-DRG,017,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,case rate,
facility,inpatient,MS-DRG,018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNO MCC,case rate,
facility,inpatient,MS-DRG,019,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMO MCC,case rate,
facility,inpatient,MS-DRG,020,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNO MCC,case rate,"146,511.4"
facility,inpatient,MS-DRG,021,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNO MCC,case rate,"100,466.8"
facility,inpatient,MS-DRG,022,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNO MCC,case rate,"64,170.2"
facility,inpatient,MS-DRG,023,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX  MCC,case rate,"103,691.3"
facility,inpatient,MS-DRG,024,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX  MCC,case rate,"69,096.0"
facility,inpatient,MS-DRG,025,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES  MCC,case rate,"81,285.2"
facility,inpatient,MS-DRG,026,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES  MCC,case rate,"55,590.9"
facility,inpatient,MS-DRG,027,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES  MCC,case rate,"44,852.2"
facility,inpatient,MS-DRG,028,SPINAL PROCEDURES WITH MCC,case rate,"110,496.6"
facility,inpatient,MS-DRG,029,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,case rate,"61,009.3"
facility,inpatient,MS-DRG,030,SPINAL PROCEDURES WITHOUT CC/MCC,case rate,"40,446.3"
facility,inpatient,MS-DRG,031,VENTRICULAR SHUNT PROCEDURES WITH MCC,case rate,"76,164.8"
facility,inpatient,MS-DRG,032,VENTRICULAR SHUNT PROCEDURES WITH CC,case rate,"38,815.8"
facility,inpatient,MS-DRG,033,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,case rate,"28,998.7"
facility,inpatient,MS-DRG,034,CAROTID ARTERY STENT PROCEDURES WITH MCC,case rate,"70,679.2"
facility,inpatient,MS-DRG,035,CAROTID ARTERY STENT PROCEDURES WITH CC,case rate,"41,344.2"
facility,inpatient,MS-DRG,036,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,case rate,"33,317.5"
facility,inpatient,MS-DRG,037,EXTRACRANIAL PROCEDURES WITH MCC,case rate,"60,358.6"
facility,inpatient,MS-DRG,038,EXTRACRANIAL PROCEDURES WITH CC,case rate,"29,284.1"
facility,inpatient,MS-DRG,039,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,case rate,"20,688.5"
facility,inpatient,MS-DRG,040,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PR MCC",case rate,"68,558.0"
facility,inpatient,MS-DRG,041,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PR MCC",case rate,"41,053.4"
facility,inpatient,MS-DRG,042,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PR MCC",case rate,"31,945.1"
facility,inpatient,MS-DRG,052,SPINAL DISORDERS AND INJURIES WITH CC/MCC,case rate,"36,578.3"
facility,inpatient,MS-DRG,053,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,case rate,"16,746.0"
facility,inpatient,MS-DRG,054,NERVOUS SYSTEM NEOPLASMS WITH MCC,case rate,"27,248.3"
facility,inpatient,MS-DRG,055,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,case rate,"19,828.7"
facility,inpatient,MS-DRG,056,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,case rate,"45,513.9"
facility,inpatient,MS-DRG,057,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,case rate,"24,260.1"
